tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
30. dec. 2016;https://twitter.com/AarhusUni/status/814981396838092800;Aarhus Universitet;@AarhusUni;Tusind tak for 2016. Godt nytår til alle fra Aarhus Universitet og på gensyn i 2017. #Aarhusuni pic.twitter.com/8zIzoGgF7j;22;5;1483141681
27. dec. 2016;https://twitter.com/StineLiv/status/814051774084616192;Stine Liv Johansen;@StineLiv;Når man endelig har tid til at arbejde og det føles som den ægte ferie. Synker ned i eksamensopgaver resten af dagen. #forskerliv #aarhusuni;3;0;1482920041
26. dec. 2016;https://twitter.com/hstovring/status/813476759849074693;Henrik Stovring;@hstovring;#mitaarhus #aarhusuni #december #denmark #photography #winter https://www.dreamstime.com/royalty-free-stock-image-winter-mist-park-image82943516#res4685452 … #dreamstime;0;0;1482782947
23. dec. 2016;https://twitter.com/Lars_Holst/status/812339701952745472;Lars Holst Hansen;@Lars_Holst;Found myself on the FB cover of #aarhusuni Visitors are always welcome in NE #Greenland!https://twitter.com/zero74n/status/812275324583112708 …;5;2;1482511852
23. dec. 2016;https://twitter.com/AnnePeddersen/status/812284447752159232;Anne Pedersen;@AnnePeddersen;#uniparken #aarhusuni #23december #glædeligjul #merrychristmaspic.twitter.com/FZaH8mhnx7;2;0;1482498678
23. dec. 2016;https://twitter.com/OmnibusAU/status/812258434359894016;Omnibus;@OmnibusAU;Årskavalkade: AU i det herrens år 2016 http://llk.dk/hybvf1  Glædelig jul og fantastisk nytår #aarhusuni #yourniversitypic.twitter.com/IXwTIHKscI;0;0;1482492476
22. dec. 2016;https://twitter.com/AndersKHylander/status/812222839399051264;Anders K. Hylander;@AndersKHylander;#aarhusuni opsummerer 2016. En lille mini filmperle af @Ejlertsen - you rock, mate!https://twitter.com/aarhusuni/status/812219093700972544 …;1;0;1482483989
22. dec. 2016;https://twitter.com/AarhusUni/status/812219093700972544;Aarhus Universitet;@AarhusUni;..;12;7;1482483096
22. dec. 2016;https://twitter.com/tgsogaard/status/812060715691413508;Thomas Søgaard;@tgsogaard;Jeg har glemt hvordan man holder fri. #aarhusuni #datalogi;0;0;1482445336
21. dec. 2016;https://twitter.com/ScienceMuseerne/status/811542831093469185;Science Museerne;@ScienceMuseerne;For første gang i historien er det lykkedes at udføre spektroskopiske målinger på antistof: http://bit.ly/2hbVQGQ  #aarhusuni #landvinding;1;1;1482321863
20. dec. 2016;https://twitter.com/OmnibusAU/status/811203010785345536;Omnibus;@OmnibusAU;#Aleppo-bar på #aarhusuni: Hvor går grænsen for studerendes #ytringsfrihed, og hvem definerer den? http://llk.dk/x3isbi ;0;0;1482240843
20. dec. 2016;https://twitter.com/OmnibusAU/status/811191326574309376;Omnibus;@OmnibusAU;Institutleder på statskundskab, @petermunkc, vil ikke gøre sig til dommer over de studerendes barer på #aarhusuni http://llk.dk/d2yov9 ;0;0;1482238058
20. dec. 2016;https://twitter.com/StudyAarhusUni/status/811179621987352576;Study at Aarhus Uni;@StudyAarhusUni;Choosing #Aarhus over #London? This student did. Read why: http://bit.ly/2iahFm7  #studyindk #aarhusuni @TopUnis @GoVisitDenmarkpic.twitter.com/Sjud6LDPA8;0;0;1482235267
19. dec. 2016;https://twitter.com/AUHdk/status/811143362363453440;Aarhus Uni.hospital;@AUHdk;Hjertepatienter underbehandles. Det viser nyt studie fra AU og AUH #sundpol #aarhusuni http://bit.ly/2h5seJF pic.twitter.com/qLZzNQ7nc2;2;0;1482226622
19. dec. 2016;https://twitter.com/AarhusUni/status/811118671225561089;Aarhus Universitet;@AarhusUni;Mød grundlæggeren af Positiv Psykologi @MartinEPSeligma på DPU i januar: http://edu.au.dk/aktuelt/arrangement/artikel/positiv-psykologi-2017-state-of-the-art-og-vigtige-udfordringer/ … #dpuaudk #aarhusuni #artsaudkpic.twitter.com/HFZdmdBLBU;1;1;1482220735
19. dec. 2016;https://twitter.com/AnnePeddersen/status/810830244244504576;Anne Pedersen;@AnnePeddersen;#winterlight #aarhusuni #aulbss #pigeonpic.twitter.com/qI26f2K4sO;1;0;1482151969
17. dec. 2016;https://twitter.com/eoingalligan/status/810382282565545984;Eoin Galligan;@eoingalligan;PhD entrepreneurship training - #Aarhusuni Spring '17 #dkpol #dkinno #aarhus https://drive.google.com/file/d/0ByTW3OSC0aWubDVSSmZWN2hJejg …;2;0;1482045166
16. dec. 2016;https://twitter.com/eoingalligan/status/809869250877915136;Eoin Galligan;@eoingalligan;PhD entrepreneurship training - #Aarhusuni Spring '17 #dkpol #dkinno #aarhus https://drive.google.com/file/d/0ByTW3OSC0aWubDVSSmZWN2hJejg/view …;0;0;1481922850
16. dec. 2016;https://twitter.com/cfiig8200/status/809738797512527872;Christina Fiig;@cfiig8200;Spændende ph.d.-forsvar m fokus på #køn #stereotyper #transgender på #Aarhusuni idag | Ph. d.-stip @lealein5 anvender seje billedmetaforerpic.twitter.com/ZnyQKFy8kg;10;0;1481891748
15. dec. 2016;https://twitter.com/AnetteVands/status/809705570806730752;Vandsø;@AnetteVands;bruger i dag på timeregnskab- sevlregistrering og admins burde figurere i vores timeregnskab m 120 t/år #livetsomforsker #aarhusuni;0;0;1481883826
14. dec. 2016;https://twitter.com/AarhusUni/status/809304775363821568;Aarhus Universitet;@AarhusUni;Velkommen til denne uges @AUforsker - Helle S Jensen (@Sesamescholar) - fra historie på #Aarhusuni. Vi glæder os til at følge med! https://twitter.com/AUforsker/status/809296435799871488 …;2;0;1481788269
14. dec. 2016;https://twitter.com/Lars_Holst/status/809062564059549697;Lars Holst Hansen;@Lars_Holst;Så skal vi bare have økologien til #aarhusuni i Roskilde... https://twitter.com/AarhusUni/status/809032844483891200 …;0;0;1481730521
14. dec. 2016;https://twitter.com/AnnePeddersen/status/809056340828192769;Anne Pedersen;@AnnePeddersen;#bibliofil #bibliotek #bøger Enkens suck og Sang-offer #1687 #oldbooks #librarystuff #library #aulibrary #aarhusuni @AarhusUni #treasurepic.twitter.com/XBYGdS5Ud4;1;0;1481729037
14. dec. 2016;https://twitter.com/AarhusUni/status/809039412206116869;Aarhus Universitet;@AarhusUni;Stort tillykke! Sølvmærkerne overrækkes af rektor Brian Bech og @JBundsgaard til de 16 kantiner #økologi #aarhusuni pic.twitter.com/WeBnPtUwit;5;4;1481725001
14. dec. 2016;https://twitter.com/StudyAarhusUni/status/809038278045421568;Study at Aarhus Uni;@StudyAarhusUni;30 talented international students from #AarhusUni took part in the #IntTalent2016 conference @ArlaDanmark HQ. #studyindk #intledhttps://twitter.com/YGADenmark/status/808332031784611840 …;0;1;1481724731
14. dec. 2016;https://twitter.com/SchrCamilla/status/809037111257133056;Camilla Schrøder;@SchrCamilla;Tillykke til Studenterhusfonden - respekt for økovejen...og tak for mange lækre frokostmåltider :-) #aarhusuni #økologihttps://twitter.com/aarhusuni/status/809032844483891200 …;0;0;1481724453
