tweetid	tweetid-href	tweetername	tweeterhandle	tweetbody	numberoflikes	numberofretweets	timeoftweet	
22 t.22 timer siden	https://twitter.com/trendinaliaDK/status/851580593204731904	Trendinalia Denmark	@trendinaliaDK	⒈ Arsenal ⒉ #ultratwitteragf ⒊ Aarhus ⒋ #historienomdanmark ⒌ #Skam 2017/4/11 01:33 CEST #trndnl http://www.trendinalia.com/twitter-trending-topics/denmark/denmark-today.html …	0	0	1491867609	
23 t.23 timer siden	https://twitter.com/trendinaliaDK/status/851575565366591488	Trendinalia Denmark	@trendinaliaDK	⒈ Arsenal ⒉ #ultratwitteragf ⒊ Aarhus ⒋ #historienomdanmark ⒌ #Skam 2017/4/11 01:18 CEST #trndnl http://www.trendinalia.com/twitter-trending-topics/denmark/denmark-today.html …	0	0	1491866410	
10. apr.	https://twitter.com/krissangknud/status/851546449603174400	Kristian Knudsen	@krissangknud	Silkeborgs største rival er tilsyneladende et hold der har spillet som en pakke pølser i 20 år. Fedt ambitionsniveau. #sldk #ultratwitteragf pic.twitter.com/3jcKSTqbSh	4	0	1491859469	
10. apr.	https://twitter.com/DNikulin/status/851544108325888000	David Nikulin	@DNikulin	Få så mange point med over i gruppespillet, at vi kan undgå nedrykningsplay-off - burde have været @AGFFodbold målsætning #ultratwitteragf	0	0	1491858911	
10. apr.	https://twitter.com/jpaarhus/status/851541829816164352	JP Aarhus	@jpaarhus	AGF-træner: Det var en miserabel præstation http://dlvr.it/Ns1HbK  #ultratwitterAGF pic.twitter.com/XQPCQvLdbq	0	0	1491858367	
10. apr.	https://twitter.com/Riisen/status/851492941868781569	Thomas Riis Hansen	@Riisen	Her i pausen præsenteres AGF's nye midtstopper. #ultratwitteragf #agfsifpic.twitter.com/N0u39wSBlg	26	3	1491846711	
10. apr.	https://twitter.com/Riisen/status/851484288226930689	Thomas Riis Hansen	@Riisen	Jeg nægter at tabe til en afkørsel på Herning-motorvejen. #agfsif #ultratwitteragf	10	2	1491844648	
10. apr.	https://twitter.com/StureSandoe/status/851504242212909058	Sture Sandø	@StureSandoe	Spelmann og Micanovic har lige lavet historiens ringeste frisparkskombination. Jeg. Er. Målløs. #sldk #ultratwitteragf #agfsif	42	1	1491849406	
10. apr.	https://twitter.com/Riisen/status/851487204060921856	Thomas Riis Hansen	@Riisen	AGF's firebackkæde mødte hinanden for første gang på p-pladsen foran stadion 5 min. før kampstart. #agfsif #ultratwitteragf	12	3	1491845343	
10. apr.	https://twitter.com/Riisen/status/851487428753977344	Thomas Riis Hansen	@Riisen	AGF's firebackkæde står lige så snorlige som tidsplanen for Letbanen. #ultratwitteragf #agfsif	8	2	1491845397	
10. apr.	https://twitter.com/krissangknud/status/851540326640742400	Kristian Knudsen	@krissangknud	Hvordan det er at holde med #ultratwitteragf, spørger du? Som at få en brazilian wax i anus, der hiver ét hår af om dagen i 20 år. Sådan.	7	1	1491858009	
10. apr.	https://twitter.com/NaestAar/status/851527057293103105	Kim Næst' Aar Jensen	@NaestAar	Spillere, der har overpræsteret i AGF 1) Aron 2) Mike Tulberg 3) Kure-brødrene Spillere, der har underpræsteret: Resten #ultratwitteragf	10	3	1491854845	
10. apr.	https://twitter.com/aaberg04/status/851516171329339394	Thomas Poulsen	@aaberg04	Peter Sørensen fik max ud af kone-effekten #ultratwitteragf #agfsif	5	1	1491852250	
10. apr.	https://twitter.com/Rasmus_Petersen/status/851515325745156099	Rasmus Petersen	@Rasmus_Petersen	Jeg er ikke meget for paparazzi, men det her foto af Mikkel Rask er sgu ret sjovt #ultratwitteragf pic.twitter.com/emTjydiNyd	14	1	1491852048	
10. apr.	https://twitter.com/EtlivmedAGF/status/851514108159643656	Et liv med AGF	@EtlivmedAGF	Bare rolig #ultratwitteragf. Vi har scoutet et nyt midterforsvars/back/kant/def.midt/off.midt/angrebstalent pic.twitter.com/KFToAmUqkp	14	3	1491851758	
10. apr.	https://twitter.com/tokewith/status/851511415290703872	Toke With	@tokewith	"Spelmann efter kampen: ""Jeg har aldrig set så ringe afleveringer i dansk fodbold. Det er decideret pinligt"" #sldk #ultratwitteragf"	2	0	1491851116	
10. apr.	https://twitter.com/TroelsHenriksen/status/851498492191232001	Troels Henriksen	@TroelsHenriksen	Hvor meget skal Silkeborg vinde, før AGF fyrer Riddersholm. Og nej. Det er ikke et forhastet spørgsmål. #sldk #ultratwitteragf	10	5	1491848035	
10. apr.	https://twitter.com/NaestAar/status/851495515321753600	Kim Næst' Aar Jensen	@NaestAar	Trænger du til noget at rase over? Glem global uretfærdighed. Hold med GF i +30 år og se dem være bagud 2-0 ved pausen. #ultratwitteragf	7	1	1491847325	
10. apr.	https://twitter.com/KasparOttosen/status/851493153903345665	Kaspar Ottosen	@KasparOttosen	Jeg har set folk gå før tid...jeg har aldrig set så mange skride i pausen #ultratwitteragf	11	1	1491846762	
10. apr.	https://twitter.com/Riisen/status/851489986377592833	Thomas Riis Hansen	@Riisen	Hvis vi skifter russeren ud i pausen, kan han så nå den sene afgang til Usbekistan fra Tirstrup? #ultratwitteragf #agfsif	4	0	1491846007	
10. apr.	https://twitter.com/tokewith/status/851489483778404352	Toke With	@tokewith	AGF er så ringe, at jeg er nødt til at blokere Jan Schouby, hvis ikke jeg skal gå helt Brian Steen Nielsen på alt #sldk #ultratwitteragf	12	0	1491845887	
10. apr.	https://twitter.com/rasskovbo/status/851489424999362560	Rasmus Skovbo	@rasskovbo	Selv hvis Silkeborg i pausen sætter Heine Fernandez og Grauballemanden i front, vil AGF's forsvar sejle rundt. #ultratwitteragf #agfsif	13	0	1491845873	
10. apr.	https://twitter.com/StureSandoe/status/851488751025090562	Sture Sandø	@StureSandoe	Ifølge 'Table of Justice' skal AGF spille Danmarksserie - jeg er ikke helt uenig... #ultratwitteragf #sldk #agfsif	104	8	1491845712	
10. apr.	https://twitter.com/quitte74/status/851487478213160960	Torben Quitzau	@quitte74	Beundrer sgu AGF-fans, sådan helt helt oprigtigt. #ultratwitteragf #sldk	3	0	1491845409	
10. apr.	https://twitter.com/CharSteg/status/851487064868745216	Charlotte Stegger	@CharSteg	Vi laver en Viborg!! TRO PÅ DET!! #ultratwitteragf	3	0	1491845310	
1. apr.	https://twitter.com/thomashaumann/status/848175351046053889	Thomas Haumann	@thomashaumann	Jeg har taget min blå @AGFFodbold trøje på og er lige nu @aabsportdk fan #sifagf #sldk #ultratwitteragf	0	0	1491055736	
1. apr.	https://twitter.com/klausmors/status/848166435650236416	Klaus Mors	@klausmors	Hvis jeg havde en trøje med Aalborg Boldspilsklub, så havde jeg taget den på i dag #ultratwitteragf #sldk	1	0	1491053611	
1. apr.	https://twitter.com/fortidssuppen/status/848158877468295168	Fortidssuppen	@fortidssuppen	BREAKING. Thomas Rathe skifter til AGF på en aftale sæsonen ud #ultratwitterAGF pic.twitter.com/Yn6jnaAeYx	21	1	1491051809	
1. apr.	https://twitter.com/jpaarhus/status/848153761201569792	JP Aarhus	@jpaarhus	AGF må undvære Duncan i nøglekamp http://dlvr.it/NmycDR  #ultratwitterAGF pic.twitter.com/X9rFgsYUBY	0	0	1491050589	
1. apr.	https://twitter.com/AGFFodbold/status/848152147351019520	AGF	@AGFFodbold	Gør som Lars og kom til Viborg i morgen. Vi er nu klar med kampoptakt med truppen. http://www.agf.dk/klubben/nyhedsarkiv/2017/april/truppen-mod-viborg/ … #ultratwitteragf #ksdh #vffagfhttps://twitter.com/larsfriis7/status/848141334972166145 …	9	2	1491050204	
1. apr.	https://twitter.com/EsbenDallHansen/status/848145193027162112	Esben Dall Hansen	@EsbenDallHansen	Dette er mig, hvis vi tager de tre point imod @ViborgFod i morgen!! #ultratwitteragf #sldk #KSDHhttps://twitter.com/sunefalden92/status/847915856453451776 …	2	1	1491048546	
1. apr.	https://twitter.com/larsfriis7/status/848141334972166145	Lars Friis	@larsfriis7	"Ser frem til at ""the White Wall"" overtager Viborg imorgen. Vi har brug for jeres fantastiske støtte....KSDH #ultratwitteragf pic.twitter.com/RwZUMZO0v2"	34	5	1491047626	
1. apr.	https://twitter.com/MortenKock/status/848133211947401216	Morten Kock	@MortenKock	Leaving #Randers on a Jetplane #æseldyr #ultratwitteragf #ksdhpic.twitter.com/vHtbwxAFLe	5	0	1491045689	
1. apr.	https://twitter.com/AGFFodbold/status/848130984293826560	AGF	@AGFFodbold	Tillykke! Så må vi hellere ha' kage med i morgen, men ingen gaver :-) Har I plads til en tusind ekstra gæster? #ultratwitteragf #vffagfhttps://twitter.com/viborgff/status/848065297617756160 …	17	1	1491045158	
1. apr.	https://twitter.com/thomashaumann/status/848109670686478341	Thomas Haumann	@thomashaumann	Så er det idag vi holder med #AAB (gælder kun idag) kom så de rød/hvid stribede #ultratwitteragf #sldk #sifaab	1	1	1491040077	
1. apr.	https://twitter.com/HoveMathias/status/848108943071215618	Mathias Hove	@HoveMathias	Hvis @BrianSteenAGF sidder og mangler en titel til en selvbiografi, er der et fint bud i dagens udgave af SIFokus. #sldk #ultratwitteragf pic.twitter.com/uXfK82jjwg	6	1	1491039903	
1. apr.	https://twitter.com/FMHorup/status/848099041678422016	Fodbold med Horup	@FMHorup	. @AGFFodbold-fans kan tage det roligt: ny stopper Thomas Juel har aldrig døjet med skader: http://www.tv2oj.dk/artikel/ny-agf-stopper-er-klar-til-90-minutter-mod-viborg … #ultratwitteragf #sldk	2	0	1491037543	
